Date,WALCL
7/8/2020,6920716
7/15/2020,6958604
7/22/2020,6964755
7/29/2020,6949032
8/5/2020,6945237
8/12/2020,6957277
8/19/2020,7010637
8/26/2020,6990418
9/2/2020,7017492
9/9/2020,7010614
9/16/2020,7064475
9/23/2020,7093161
9/30/2020,7056129
10/7/2020,7074649
10/14/2020,7151426
10/21/2020,7177265
10/28/2020,7146306
11/4/2020,7157479
11/11/2020,7175417
11/18/2020,7243080
11/25/2020,7216480
12/2/2020,7222414
12/9/2020,7242658
12/16/2020,7362592
12/23/2020,7404039
12/30/2020,7363351
1/6/2021,7334809
1/13/2021,7333968
1/20/2021,7414942
1/27/2021,7404926
2/3/2021,7410598
2/10/2021,7442225
2/17/2021,7557402
2/24/2021,7590111
3/3/2021,7557524
3/10/2021,7579901
3/17/2021,7693506
3/24/2021,7719622
3/31/2021,7688988
4/7/2021,7708882
4/14/2021,7793104
4/21/2021,7820948
4/28/2021,7780962
5/5/2021,7810486
5/12/2021,7830663
5/19/2021,7922883
5/26/2021,7903541
6/2/2021,7935703
6/9/2021,7952327
6/16/2021,8064257
6/23/2021,8101945
6/30/2021,8078544
7/7/2021,8097773
7/14/2021,8201651
7/21/2021,8240530
7/28/2021,8221473
8/4/2021,8235073
8/11/2021,8257159
8/18/2021,8342598
8/25/2021,8332743
9/1/2021,8349173
9/8/2021,8357314
9/15/2021,8448770
9/22/2021,8489824
9/29/2021,8447981
10/6/2021,8464032
10/13/2021,8480942
10/20/2021,8564943
10/27/2021,8556181
11/3/2021,8574871
11/10/2021,8663117
11/17/2021,8674970
11/24/2021,8681771
12/1/2021,8650402
12/8/2021,8664524
12/15/2021,8756666
12/22/2021,8790495
12/29/2021,8757460
1/5/2022,8765721
1/12/2022,8788278
1/19/2022,8867834
1/26/2022,8860485
2/2/2022,8873211
2/9/2022,8878009
2/16/2022,8911033
2/23/2022,8928129
3/2/2022,8904455
3/9/2022,8910748
3/16/2022,8954306
3/23/2022,8962474
3/30/2022,8937142
4/6/2022,8937592
4/13/2022,8965487
4/20/2022,8955851
4/27/2022,8939199
5/4/2022,8939972
5/11/2022,8942008
5/18/2022,8945898
5/25/2022,8914281
6/1/2022,8915050
6/8/2022,8918254
6/15/2022,8932420
6/22/2022,8934346
6/29/2022,8913553
7/6/2022,8891851
7/13/2022,8895867
7/20/2022,8899213
7/27/2022,8890004
8/3/2022,8874620
8/10/2022,8879138
8/17/2022,8849762
8/24/2022,8851436
8/31/2022,8826093
9/7/2022,8822401
9/14/2022,8832759
9/21/2022,8816802
9/28/2022,8795567
10/5/2022,8759053
10/12/2022,8758969
10/19/2022,8743922
10/26/2022,8723090
11/2/2022,8676870
11/9/2022,8678886
11/16/2022,8625620
11/23/2022,8621390
11/30/2022,8584576
12/7/2022,8582735
12/14/2022,8583413
12/21/2022,8564411
12/28/2022,8551169
1/4/2023,8507429
1/11/2023,8508587
1/18/2023,8489039
1/25/2023,8470557
2/1/2023,8433610
2/8/2023,8435369
2/15/2023,8384767
2/22/2023,8382190
3/1/2023,8339684
3/8/2023,8342283
3/15/2023,8639300
3/22/2023,8733787
3/29/2023,8705942
4/5/2023,8632384
4/12/2023,8614797
4/19/2023,8593263
4/26/2023,8562768
5/3/2023,8503994
5/10/2023,8503017
5/17/2023,8456760
,
